symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume,TP,20sma,MD,CCI
CVS,2017-08-23,75.471600,75.734100,False,74.975600,75.364600,reg,3343254,75.39376666666665,76.46623571428572,1.1048363333333402,-64.71359997025559
CVS,2017-08-24,73.312700,75.500700,False,72.534800,75.063100,reg,9495530,73.78273333333334,76.256,1.1048363333333402,-149.2387962540844
CVS,2017-08-25,73.273800,74.178200,False,73.254400,73.487800,reg,6416456,73.5688,76.06961249999999,1.1048363333333402,-150.9009328380149
CVS,2017-08-28,73.380800,73.867000,False,73.098800,73.419700,reg,5068311,73.44886666666666,75.91144705882351,1.1048363333333402,-148.5939783030812
CVS,2017-08-29,73.993400,74.217100,False,72.933500,73.351600,reg,4516156,73.71466666666667,75.80488888888888,1.1048363333333402,-126.12560244803659
CVS,2017-08-30,74.275500,74.547700,False,73.886500,73.993400,reg,3607038,74.23656666666666,75.7243947368421,1.1048363333333402,-89.77668005580495
CVS,2017-08-31,75.209000,75.636900,False,74.382400,74.392100,reg,5518707,75.0761,75.69862499999999,1.1048363333333402,-37.56363310523472
CVS,2017-09-01,75.773000,76.283600,False,75.170100,75.403500,reg,4653775,75.74223333333333,75.69619499999999,1.1048363333333402,2.777988132380526
CVS,2017-09-05,76.521800,76.774600,False,75.393800,75.471600,reg,4469008,76.23006666666667,75.67528499999999,1.1048363333333402,33.47594872523691
CVS,2017-09-06,77.679000,77.795700,False,76.657900,76.657900,reg,5106183,77.37753333333332,75.73898,1.1048363333333402,98.87155734579751
CVS,2017-09-07,78.194400,78.388900,False,77.358100,77.776300,reg,5556110,77.98046666666666,75.78662999999999,1.1048363333333402,132.37777702016535
CVS,2017-09-08,77.523400,78.330600,False,77.290000,77.805400,reg,4252922,77.71466666666667,75.81483,1.1048363333333402,114.63759287826106
CVS,2017-09-11,77.523400,77.795700,False,77.144200,77.795700,reg,3784325,77.48776666666667,75.8299,1.1048363333333402,100.03693860337489
CVS,2017-09-12,80.158800,80.508800,False,77.630400,77.795700,reg,8048737,79.43266666666666,75.98209,1.1048363333333402,208.21042674294395
CVS,2017-09-13,80.790800,81.384000,False,79.867000,80.032300,reg,6813764,80.68060000000001,76.17511999999999,1.1048363333333402,271.86409812132007
CVS,2017-09-14,80.363000,80.771400,False,80.101400,80.596400,reg,4583498,80.41193333333332,76.33995,1.1048363333333402,245.70657876224178
CVS,2017-09-15,80.878400,81.063100,False,79.234900,79.944800,reg,7483230,80.39213333333333,76.548055,1.1048363333333402,231.95461731033495
CVS,2017-09-18,81.014500,81.228400,False,80.576900,80.897800,reg,4333312,80.93993333333333,76.82277,1.1048363333333402,248.432774406906
CVS,2017-09-19,80.810300,81.685500,False,80.615800,81.442400,reg,4568200,81.0372,77.08825,1.1048363333333402,238.28265362984214
CVS,2017-09-20,78.476400,81.452100,False,77.951300,80.907500,reg,9944275,79.29326666666667,77.2312,1.1048363333333402,124.42667476037349
CVS,2017-09-21,77.367800,78.495900,False,76.999300,78.427800,reg,5253431,77.621,77.32601,1.1048363333333402,17.799921496667935
CVS,2017-09-22,77.435900,77.698500,False,76.453700,77.017800,reg,6534109,77.19603333333333,77.53217,1.1048363333333402,-20.28274273303582
